table_name,index_name,column_name,is_unique,ordinal_position,index_type
A_00_Coches,PrimaryKey,Id_Coches,True,1,OTHER
A_00_Coches,Id_Coches,Id_Coches,False,1,OTHER
A_00_Formaciones,PrimaryKey,Id_Formaciones,True,1,OTHER
A_00_Kilometrajes,PrimaryKey,Id_Kilometrajes,True,1,OTHER
A_00_Observaciones,{45675E34-AB47-49C3-A86C-D5512C17F7BB},Id,False,1,OTHER
A_00_Observaciones,Id,Id,False,1,OTHER
A_00_OT_Simaf,OT_Simaf,OT_Simaf,True,1,OTHER
A_00_OT_Simaf,PrimaryKey,Id_OT_Simaf,True,1,OTHER
A_00_Tareas,PrimaryKey,Id_Tareas,True,1,OTHER
A_01_Grupos,PrimaryKey,Id_Grupos,True,1,OTHER
A_01_Lista_Materiales,PrimaryKey,Id_Materiales,True,1,OTHER
A_01_Remplazo_Materiales,PrimaryKey,Id_Remplazo_Materiales,True,1,OTHER
A_01_Tipo_Novedad,PrimaryKey,Id_Tipo_Novedad,True,1,OTHER
A_08_Organos_Parque,Número,Número,True,1,OTHER
A_08_Organos_Parque,PrimaryKey,Id_OGP,True,1,OTHER
A_08_Organos_Parque,A_08_Organos_ParqueClase_Vehículo,Clase_Vehículo,False,1,OTHER
A_12_Accidentales_Anexar,PrimaryKey,Id,True,1,OTHER
A_12_Accidentales_Anexar,ID tarea,ID tarea,False,1,OTHER
A_12_Accidentales_Tabla,PrimaryKey,Id,True,1,OTHER
A_12_Accidentales_Tabla,ID tarea,ID tarea,False,1,OTHER
A_14_Cambio_Coches,PrimaryKey,Id_Cambio_Coches,True,1,OTHER
A_15_Lavados,PrimaryKey,Id_Lavado,True,1,OTHER
A_17_Seguimientos,PrimaryKey,Id_Seguimientos,True,1,OTHER
A_30_Matafuefos,Módulo,Módulo,True,1,OTHER
A_30_Matafuefos,N° Serie,N_Serie,True,1,OTHER
A_30_Matafuefos,PrimaryKey,Id,True,1,OTHER
A_31_Descarga_Eventos,PrimaryKey,Id_Descarga_Eventos,True,1,OTHER
A_40_Auditoria de Documentos,PrimaryKey,Id,True,1,OTHER
B_01_Materiales,NGA,NGA,False,1,OTHER
B_01_Novedades,{1B2038CF-10DA-4D24-B04B-251DB62D2F11},Id,False,1,OTHER
B_01_Novedades,Id,Id,False,1,OTHER
B_01_Novedades,Id_Nov_Mat,Id_Nov_Mat,False,1,OTHER
B_02_Mantenimientos,{938E4942-8051-46E0-9E79-51ED76CAF0F5},Id_Mantenimientos,False,1,OTHER
B_02_Mantenimientos,Id_Mantenimientos,Id_Mantenimientos,False,1,OTHER
B_03_Actuaciones_VBC,Id_VCB,Id_VCB,True,1,OTHER
B_03_Actuaciones_VBC,{344DD1F1-287C-46DD-86F0-720DBEE5438B},Id_VCB,False,1,OTHER
B_04_Compresor_Toshiba,Id_CM_Toshiba,Id_CM_Toshiba,True,1,OTHER
B_04_Compresor_Toshiba,{685D729E-25A0-4A37-93B2-E0A4ECB42413},Id_CM_Toshiba,False,1,OTHER
B_05_Punta_de_Eje,{D8BDC930-5E03-40F1-A9F9-DEC206A958B5},Id_Punta_Eje,False,1,OTHER
B_05_Punta_de_Eje,Id_Punta_Eje,Id_Punta_Eje,False,1,OTHER
B_08_Organos_Parque,{5E94D6E4-BDF5-41A6-8EC4-74E437B388CB},Id_Organos_Parque_Toshiba,False,1,OTHER
